,imagepath,top1,top5,top5Result
0,testdata/1351_15.png,1,1,"[('1351_19.png', array([[0.6279386]], dtype=float32)), ('1346_11.png', array([[0.6114009]], dtype=float32)), ('1342_05.png', array([[0.5932246]], dtype=float32)), ('1505_12.png', array([[0.58485854]], dtype=float32)), ('1332_09.png', array([[0.55521935]], dtype=float32))]"
1,testdata/0666_15.png,0,0,"[('0827_05.png', array([[0.5461813]], dtype=float32)), ('0243_19.png', array([[0.44509485]], dtype=float32)), ('0959_13.png', array([[0.42645198]], dtype=float32)), ('0068_10.png', array([[0.42165488]], dtype=float32)), ('0621_15.png', array([[0.4183246]], dtype=float32))]"
2,testdata/0926_14.png,0,0,"[('0912_11.png', array([[0.7214517]], dtype=float32)), ('1457_09.png', array([[0.6173347]], dtype=float32)), ('0946_07.png', array([[0.5811112]], dtype=float32)), ('0001_10.png', array([[0.5729773]], dtype=float32)), ('0071_12.png', array([[0.5686932]], dtype=float32))]"
3,testdata/0137_15.png,0,1,"[('0158_05.png', array([[0.52789456]], dtype=float32)), ('0137_19.png', array([[0.49507827]], dtype=float32)), ('1457_09.png', array([[0.49424812]], dtype=float32)), ('1069_20.png', array([[0.48867577]], dtype=float32)), ('0068_10.png', array([[0.47858894]], dtype=float32))]"
4,testdata/1400_15.png,0,0,"[('0989_02.png', array([[0.69822186]], dtype=float32)), ('0985_16.png', array([[0.68036354]], dtype=float32)), ('0447_18.png', array([[0.5969301]], dtype=float32)), ('0814_13.png', array([[0.594865]], dtype=float32)), ('0279_18.png', array([[0.570021]], dtype=float32))]"
5,testdata/0280_01.png,0,0,"[('1228_08.png', array([[0.47173196]], dtype=float32)), ('0540_11.png', array([[0.44922918]], dtype=float32)), ('1126_04.png', array([[0.4344217]], dtype=float32)), ('1220_14.png', array([[0.42530128]], dtype=float32)), ('0245_16.png', array([[0.41555786]], dtype=float32))]"
6,testdata/0030_08.png,0,0,"[('0032_08.png', array([[0.5451648]], dtype=float32)), ('0829_19.png', array([[0.5436214]], dtype=float32)), ('1558_16.png', array([[0.5177704]], dtype=float32)), ('1591_17.png', array([[0.4871421]], dtype=float32)), ('1364_09.png', array([[0.4806523]], dtype=float32))]"
7,testdata/0508_12.png,0,0,"[('0485_09.png', array([[0.47433478]], dtype=float32)), ('0408_14.png', array([[0.4319249]], dtype=float32)), ('1217_06.png', array([[0.42180434]], dtype=float32)), ('1104_10.png', array([[0.42094323]], dtype=float32)), ('0469_14.png', array([[0.3995369]], dtype=float32))]"
8,testdata/1507_08.png,1,1,"[('1507_19.png', array([[0.5902]], dtype=float32)), ('0353_05.png', array([[0.5887109]], dtype=float32)), ('0292_08.png', array([[0.5551883]], dtype=float32)), ('1322_10.png', array([[0.5158973]], dtype=float32)), ('0055_02.png', array([[0.5032244]], dtype=float32))]"
9,testdata/1388_06.png,0,0,"[('0375_12.png', array([[0.56117946]], dtype=float32)), ('0388_08.png', array([[0.55034375]], dtype=float32)), ('0358_19.png', array([[0.5395939]], dtype=float32)), ('0352_17.png', array([[0.5345782]], dtype=float32)), ('0389_15.png', array([[0.5268202]], dtype=float32))]"
10,testdata/0302_02.png,0,0,"[('0931_17.png', array([[0.60927606]], dtype=float32)), ('0913_06.png', array([[0.5048283]], dtype=float32)), ('1480_18.png', array([[0.4933656]], dtype=float32)), ('0441_10.png', array([[0.48875678]], dtype=float32)), ('0728_08.png', array([[0.45238802]], dtype=float32))]"
